Date,Others,Tara BESS,BizDev & Carbon,GTB ,KBC Industrial,Hai Phong Green,CEBA Academy,REI & Peak,CPI ,DOS/NREL ,NIRAS/GEAPP,,,,,,,,,,,,
2025-12-29,"- 2025 reflect and planning for New Year 
- 4 days holidays ","- Review Ecoplexus report and model (all) 
- BESS case study on Canvas for Tara (Anh/Cong)",- Follow with VIOT on Amaccao and Verra posting (Tung/Hang),"- Update financed emission report with BIDV feedback (Hang/Trang))
- Cont finalize reports for TCB (Hang/Trang/Anh)
",,- Cont. pending further update from Loan after call (Hang/Tung),,,,,,,,,,,,,,,,,
2025-12-22,- Tinh discussion for early 2026,"- Final simulate Ecoplexus project using new model and test validity (Cong/Tung/Rob)
- Share Ecoplexus report for internal review (Cong/Tung/Rob)
- BESS case study on Canvas for Tara (Anh/Cong)","- Arrange meeting with Tara if possible (Tung)
- Follow up with VIOT on Amaccao (Hang/Marc)
- Follow up with Allcot (now Kcarbon X) on NDA (Hang/Tung)
","- Cont.. finalize reports for BIDV (Hang/Tung/Anh)
- Cont. summarize key changes for PCAF new versions (Hang/Trang/Tung)

",- Finalize term sheet penalty and legal structure (Marc/Bob/Ethan),- Pending further update from Loan after call (Hang/Tung),,,,,,,,,,,,,,,,,
2025-12-15,- Leave plan for Xmas and New Year (all),"- Cont.. simulate Ecoplexus project using new model and test validity - private grid sale (Cong/Tung/Rob)
- Final week before thesis submission (Tinh/all)
- BESS case study on Canvas for Tara (Lauren/Anh/Cong)","- Share NDA with VinaCarbon (Tung/Lauren)
- Follow up with VIOT on next steps (Hang/Marc)
- Prep and summarize Tara meeting (Tung/all)
- Finalize CPI Lab proposal (all)
- Prep and summarize BII meeting (Tung/Cong)h","- Cont. finalize reports for BIDV and TCB (Hang/Tung/Anh)
- Scope 3 nonfinance emission request (Hang/Tung)
- Summarize key changes for PCAF new versions (Hang/Trang/Tung)
",- Translate KBC slides + send back materials to BD team (Anh/Trang/Tung),- Cont.. update with DAE new contact and report progress with KBC (Tung/Hang),"- Finalize pitch deck and question list for consultation (Aiden/Michelle/Anh)
- Send Corrina interview analysis by 18th Dec (Anh/Trang)
- Prep and execute CEBA consultations (Anh/Aiden/Michelle)","- Update Tsheet & invoice (all)
- Next steps with ENS (Rob/all)",,,,,,,,,,,,,,,
2025-12-08,- Hang & Trang domain presentation (Hang/Trang),"- Cont. simulate Ecoplexus project using new model and test validity - private grid sale (Cong/Tung/Rob)
- Cont. Tinh final sprint on thesis (Tinh/all)
- Presentation for Tara (Tung/Cong/Anh)
- Cont. test fundamental validity of new Excel model (Rob/Tung/Cong)","- Support with Lab CPI proposal (Michelle/all)
- Visit KBC HO and facilicate next steps (Marc/Hang/Anh/Trang)
- Next steps with Amaccao, Idemitsu, Vinfast and Vinacarbon (Marc/Tung/Hang)
- Schedule meeting with Yen before holiday (Tung/Hang/Anh)","- Review financed emission changes after PCAF update (Hang/Tung/Anh)
- Finalize reports for BIDV and TCB (Hang/Tung/Anh)
- Presentation for Tara (Tung/Hang)
","- Review term sheet and connect with sales team for pipelining (Marc/all)
",- Cont. update with DAE new contact and report progress with KBC (Tung/Hang),"- Review and finalize for Michelle (Tung)
- Draft  and share visual presentation of cohort concept (Anh/Aiden/Michelle)
- Outreach list, consultation questions (Anh/Aiden/Michelle)",- BESS system RFI (Anh/Cong/Rob),,,,,,,,,,,,,,,
2025-12-01,"- Trang out on Monday due to Influenza A
- Update on Perplexity invoicing (Tung)
- Marc visiting HCMC and HN this/next week (all)","- Share EYA results with Ecoplexus and Tara (Tung)
- Simulate Ecoplexus project using new model and test validity - private grid sale (Cong/Tung/Rob)
- Test fundamental validity of new Excel model (Rob/Tung/Cong)
- Cont. draft outline for Ecplx reporting - PPT (Anh/Tung/Cong)
- Tinh final sprint on thesis (all)b","- Marc visit in HCMC - Vinacarbon outreach, GreenCarbon, KBC (Tung/Cong/Hang)
- Marc visit in Hanoi - Mr. Tho, WtE (Hang/Anh/Tung)
- Finalize PUR carbon proposal dev (Marc/Aiden/Lauren)
- Good Fashion Fund briefing and follow up (Michelle/all)
- RFP for carbon project Sing-VN - email internal (Hang/Tung)
","- PCAF coordination for next steps - time, letter, discount (Hang/Tung)
- Finalize report for BIDV financed emission assessment (Hang/Anh/Tung)
- Share recent reports internally with Michelle and Lauren for TCB/ BIDV (Hang/Tung)
- Find and share corporate transition plan with Lauren and Michelle (Anh/Tung)
- SLL coordination with BIDV for next steps (Anh/Tung)
- Emission intensity database, financed emission to risk cal (Trang/Tinh/Tung)","- Lunch with KBC key contacts and align on final details (Marc/Cong/Tung)
- Cont... build upon KBC IP & tenants database (Trang/Tinh/Tung)",- Update with DAE new contact and report progress with KBC (Tung/Hang),"- Draft visual presentation of cohort concept (Anh/Aiden/Michelle)
- Begin outreach with selected brands and suppliers (Anh/Aiden/Michelle) - delay til 15th
- Review TAM’s outline (Anh/all) - Dec 5th
","- Next steps with ENS Foam (Rob/Anh)
- Preparation for Oliver's trip? (Rob/all)
- Update Tsheet (Tung/Cong/Trang)",,,,,,,,,,,,,,,
2025-11-24,"- Tung on leave Friday
- Update legal register (Trang)","- Finalize and share EYA with Ecoplexus and Tara - parameters, Michelle inputs (Tung/Anh/Cong)
- Note on EYA report = interim report/appendix (Tung/Michelle)
- Update and customize model for 2-part tariff, utility solar and Ecoplexus (Cong/Tung/Rob)
- Tinh thesis progress check-in (Tinh/Tung/Cong)","- Share C&I engagement options with Michelle for next step (Tung)
- Standby for Seraphinn WtE (Hang/Tung)
- IKI grant opportunity discussion (Hang/Michelle/Lauren)","- SLL confirmation (Lauren/Michelle/Anh)
- Preparation for PCAF (Tung/Hang/Anh)
- Finalize reports for BIDV non financed and financed emission (Hang/Trang/Tung)
- Climate intel for 2026 - emission intensity database, financed emission to risk cal (Trang/Tinh/Tung)","- Plan meetings for Marc visit (Tung/Cong)
- Cont.. build upon KBC IP & tenants database (Trang/Tinh/Tung)",- Final engage with DAE and report progress with KBC (Tung/Hang),"- Follow up Goertek with email (Cong/Anh)
- Finalize timeline and list of questions for sharing (Anh/Aiden/Lauren)
- Further outreach for 6 months interview (Anh/Trang)
- SOW Q4: List of 8-10 brands/suppliers to conduct outreach (Anh)
- Draft Concept Note and Pitch Deck (Anh/Aiden/Lauren)
- Review TAM’s outline (Anh/all)","- Engage other vendors for ENS Foam - Stride, others (Anh/Rob)",,,,,,,,,,,,,,,
2025-11-17,baby shower when??? - :)) not soon,"- Cont. review EYA results, cover and provide feedback (Rob/Tung/Anh)
- Finalize EYA cover page for internal review (Cong/Anh)
- Update and customize model for utility solar and Ecoplexus (Cong/Tung/Rob)
- Draft outline for Ecplx reporting - PPT (Anh/Tung/Cong)","- GAP proposal for VN and IN (Michelle/Rob/Tung)
- Seraphinn WtE site visit prep - tentative (Hang/Tung)
- PUR carbon proposal dev (Hang/Michelle/Aiden)","- BIDV & PCAF facilitation where required (Hang/Tung)
- BIDV & SLL alignment on next steps & deliverables (Anh/Tung/Hang)
- Draft reports progress for November deadline? (Hang/Tung/Anh)
- Brainstorm and test emission intensity relevance to Vietnam economy - CEDA database (Hang/Trang/Tinh)","- Finalize thesis first draft for submission with supervisor (Tinh/Tung)
- Cont. build upon KBC IP & tenants database (Trang/Tinh/Tung)
- Cont.. modelling update for 2-part tariff opt (Tung/Rob/Cong)",- Cont... engage with DAE for official confirmation (Hang/Tung),"- CEBA new SOW discussion and planning - timeline to be shared with CEBA (all)
- Share holidays in Jan and Feb 2026 with CEBA (Anh/Tung)
- Create draft list of questions for engagement - flag overlap with 6-months (Anh/Michelle/Aiden/Lauren)
- Interview request email (Anh/Trang)","- Reach out Coco, Vu Phong for Rob (Anh/Rob)
- Cont.. coordinate with Jinquan for next steps - SmartSolar, JQ, REI (Anh/Cong)",,,,,,,,,,,,,,,
2025-11-10,"- Co-meeting space options (Trang/Hang)
- Financed emission tool zfolio/Sweep/Others... (Hang/Trang)v","- Review EYA results and provide feedback (Rob/Tung/Anh)
","- Prep for GENCO3 meeting? (Cong/Tung/Anh)
- Internalize Seth's comments and follow up VIOT (Hang/Aiden/Tung)
- Tinh progress on first draft and questions on data (Tinh/Tung/Cong)
- First meeting for internal carbon team (Erik/Hang/Aiden)","- Response to BIDV feedback on report and tool (Hang/Trang/Anh)
- Prepare for meeting with TCB for financed emission calculation tool on Tue (Hang/Trang/Anh)
- Prepare for meeting with BIDV on emission and SLL (Hang/Anh/Tung)
- Prepare for Scope 3 non financed calculation tool for BIDV (Hang/Trang/Anh)","- 3rd meeting on arrangement between AP and KBC (Marc/Ethan)
- Build upon KBC IP & tenants database with further info on brands & RTS (Trang/Tinh/Tung)
- Cont. modelling update for 2-part tariff opt (Tung/Rob/Cong)","- Cont.. engage with DAE for official confirmation (Hang/Tung)
- Cont. brainstorm for in-person meeting/workshop KBC/Tara (Tung/Anh/all)","- Follow up with CEBA 6-month tasks (Anh/Trang) 
- Reach out to Tina-Luxshare (Trang/Anh)
- Survey completion reminder email by 14th Nov (Anh/Trang)
","- Rooftop solar companies list for ENS Foam (Anh/Cong/Rob)
- Cont. coordinate with Jinquan for next steps - SmartSolar, JQ, REI (Anh/Cong)",,,,,,,,,,,,,,,
2025-11-03,"- 2026 workplan changes? (all)
- Co-working space costly (Trang/Hang)","- Finalize Emivest Slides (Trang/Cong/Tung)
- Share Emivest report and engage Tara/Nami for update (Tung/Cong/Anh)
- Plan project layout, initial steps and estimate timeline for Ecplx modelling - Autocad, pvsyst (Cong/Tung/Tinh)","- Next steps for carbon opps - WtE, Terviva, BPP, PUR (Tung/Hang)
- Cont. Hai Ha IP and mill factories desk research for Gap Inc (Trang/Anh/Tung)
- Tinh progress on literature review and methodology before first submission (Tinh/Tung)","- Rework monthly sheet (Tung)
- Cont. data collection with BIDV for November reporting (Hang/Tung/Anh)
- Update and engage TCB with revised tool (Hang/Trang/Anh)
- Draft and engage BIDV with new SLL ideas (Anh/Tung)
","- Add brands details where possible to IP list (Trang/Tinh/Tung)
- Wait for further update from Marc and Alan on Singapore entity (all)
- Modelling update for 2-part tariff opt (Tung/Rob/Cong)","- Cont. engage with DAE for official confirmation (Hang/Tung)
- Brainstorm for in-person meeting/workshop KBC/Tara (Tung/Anh/all)","- Submit online academy translation validation (Anh/Cong/Hang)
- Check proposal and finalize monthly sheet (Anh/Tung)","- Coordinate with Jinquan for next steps - SmartSolar, JQ, REI (Anh/Cong)",,,,,,,,,,,,,,,
2025-10-27,"- Legal register update - DPPA draft, BESS (Trang)
- Trang side project (Trang/Tung)","- Update and share final analysis and reporting for Emivest for internal review (Cong/Tung/Anh)
- Engage Ecplx for data collection and modelling feedback - delay & timing (Tung/Cong)
- Nami & Emivest engagement on updated modelling (Cong/Tung/Michelle)
- Brainstorm for in-person meeting/workshop (Tung/Anh/all)
- Emivest Slides (Trang/Cong/Tung)","- Hai Ha IP and mill factories desk research for Gap Inc - check data (Trang/Anh/Tung)
- Prep for Terviva engagement on pongamia (Tung/Hang)
- PUR cocoa carbon project discussion (Tung/Hang)","- Cont. TCB tool and data review for next steps (Tung/Hang/Trang/Anh)
- Cont. prelim brief to pivot SLL workplan using market reference from other countries/regions (Anh/Tung)
- Resume data collection with BIDV for November reporting (Hang/Tung/Anh)
","- Modelling update for implication of 2-part tariff on solar+storage optimization (Cong/Tung)
- Cont. review IP portfolio under KBC and data extraction (Trang/Anh/Tinh)
- Brainstorm and draft joint venture agreement with KBC (Marc/Michelle/Rob/all)
","- Update monthly workplan sheet using new proposal (Hang/Trang/Tung)
- Cont engage with DAE with revised proposal and MOU (Hang/Tung)","- Review new SOW and draft proposal for CEBA (Michelle/Anh/Hang/Trang)
- Online Academy translation validation (Anh/Trang/Tinh)
- Review thesis workplan and draft presentation (Tinh/Tung)","- Review offers from CocoSolar and Entoria (Cong/Anh)
- Engage Viettel Construction introduced by Hue REI (Trang/Anh)
- Coordinate with Jinquan for next steps (Anh/Cong)",,,,,,,,,,,,,,,
2025-10-20,"- Carbon market training (Anh/Hang/Trang)
- CFE 24/7 SG workshop (Erik)
- Pickleball idea - frisbee ","- Review data request for modelling and send Ecplx (Tung/Cong/Rob)
- Improve modelling, reporting and analysis for Emivest (Cong/Tung/Rob/Anh)
- Start early work on Ecplx modelling and reporting (Cong/Anh/Tung)
","- Terviva prep (Tung)
- GAP call 
- Next steps with Amaccao/Seraphinn - site visit and data request (Tung/Hang)
- Cont. carbon project document RAG/wrapper approach (Tinh/Aiden/Hang)
","- Prelim brief to pivot SLL workplan using market reference from other countries/regions (Anh/Tung)
- TCB tool and data review for next steps (Tung/Hang/Trang/Anh)
","- Cont. Tinh weekly workplan for FMP thesis (Tinh/Tung)
- Review IP portfolio under KBC and recommend top 3-4 IPs or tenants for further engagement and data request (Trang/Cong/Rob/Michelle)
- IP Data Extraction (Trang/Anh)
","- Confirm next steps with KBC - Aus visit, MOU (Tung/Hang)
- Engage with DAE with revised proposal and official dispatch (Hang/Tung)
- Hai Phong Leaders' work schedule when training abroad","- Support Corrina with 6-months check in (Anh/Trang/Tung)
- Further support for online Academy this week (Anh/Trang/Tinh) ","- Share i-RECs service or vendor list with Hue REI (Anh/Trang/Hang/Lauren)
- Resolve questions/ideas from George Jinquan (Cong/Rob/Tung)
- Follow up with CocoSolar and Entoria (Trang/Anh/Cong)",,,,,,,,,,,,,,,
2025-10-13,"- EAVCED training DPPA (5&6/11) (Trang/Cong/Tung)
- DFAT workshop
- HN 7th November (Tung)
","- Review draft report for Emivest (Cong/Tung/Rob/Anh)
- Reconnect with Ecoplexus for meeting arrangement (Tung)
- Request Ecplx data for modelling (Cong/Tung)
","- Amazon Device energy audit request discussion - outsource staff, personnel cert - MOIT (all)
- Seraphinn/Amaccao meeting (Hang/Aiden/Tung)
- GAP proposal (Michelle/Cong/Rob/Tung)
- Cont. carbon project document RAG/wrapper approach (Tinh/Aiden/Hang)","- Review updated tool for further sharing (Tung/Hang)
- Resume data collection and review for upcoming draft GHG assessment report (Hang/Trang/Anh)
- Brainstorm ideas to pivot SLL workplan using market reference from other countries/regions (Anh/Tung)","- Complete pitchdeck and share with KBC (Marc/Rob/Cong/Michelle)
- Tinh weekly workplan for FMP thesis (Tinh/Tung)
","- Finalize ENG and VIE proposal for sharing with KBC (Michelle/Marc/Hang/Trang)
- Draft MOU for Hai Phong based on proposal (Hang/Trang)
- Follow up with KBC and Saigontel on next steps (Tung/Hang)
","- Support with translation (Anh/Trang)
- Support with 6-month process (Anh/Trang)
- Review future retail tariff brief and 2-part pricing structure (Tung/Trang/Cong) ","- REI request for i-RECs service or vendor list (Anh/Trang/Lauren)
- Coordinate next steps with Jinquan and others (Anh/Cong/Trang)",,,,,,,,,,,,,,,
2025-10-06,"- BKK update
- Coworking space (Trang/Tung)
- DFAT carbon presentation (Hang/Lauren/Tung)","- Cont. draft report for Emivest (Anh/Cong/Tung)
- Cont. engage Ecoplexus for project data and feedback (Tung/Cong)
- FMP thesis update and review (Tinh/Tung/Cong/Rob)
- Introduce STB Giga to PHL team (Cong)","- Discuss internally on WtE Doxaco and possibly Seraphinn project (Hang/Marc/Aiden)
- Carbon project document RAG/wrapper approach (Tinh/Aiden/Hang)
","- Revise and update financed emission tool with BIDV feedback (Trang/Hang)
","- KBC pitch deck near completion - stats, graphs, visual (Michelle/Cong/Rob/Tung/Marc)","- Finalize proposal for internal sharing -  language, carbon, Tara, Josh (Tung/Hang/Marc)
",- 6-month follow up,"- Summarize meeting outcomes for REI and others (Anh/Cong/Trang)
- Review and discuss new offer from SmartSolar (Cong/Anh/Tung/Rob)
",,,,,,,,,,,,,,,
2025-09-29,"- BPP Showcase in CanTho
","- Progress update presentation for Tara (Anh/Cong/Trang)
- Draft report for Emivest (Anh/Cong/Tung)
- FMP thesis update and review (Tinh/Tung/Cong/Rob)
- Discuss BESS model with Ecoplexus and test project data (Cong/Tung/Anh)
","- KBC pitch deck sharing - IP landscape; KBC opportunity (Cong/Aiden/Rob/Marc)
- VIOT WtE project survey (Hang/Tung/Aiden)
","- Progress update presentation for Tara (Hang/Anh/Trang)
- Discuss request from BIDV - call Linh (Hang/Tung/others)
- Finalize and submit Scope 1& 2 report for BIDV (Hang/Tung/Anh)",,"- Next steps with Hai Phong, DAE and KBC (Hang/Marc/Tung/KBC)
","- Share photos and materials with brand reps - Nike, lululemon, REI (Anh/Trang)
- [delayed] Digital Content Translation Review (Anh/Trang/Tinh)
- Draft future retail electricity price (Trang/Tinh)",- Support meeting between Jinquan and SmartSolar (Cong/Anh/Trang),"- Review sensitive content for public version (Anh/Trang/Tung)
- Share public version (Anh/Trang/Tung)",,,,,,,,,,,,,,
2025-09-22,"- Tara catch up timing (Tung)
- KBC Data Center POC follow up (Tung)
- Tung on leave Wed, Fri","- Select one btm site for reporting (Cong/Tung/Anh)
- Connect with Hien and Ecoplexus technical team in Turkey for BESS model feedback (Cong/Tung/Rob)","- UNDP proposal follow up (Tung/Michelle/Lauren)
- KBC pitch deck finalizing - IP landscape; KBC opportunity (Cong/Aiden/Rob/Marc)
- WtE carbon and data request form follow up (Marc/Hang/Aiden)
- Retail price, FMP, RAG & supply chain data projects (Tinh/Trang/Aiden)","- Follow up with BIDV on training date (Hang/Tung/Anh)
",,"- Follow up with DAE and Mr Duong for next step with Hai Phong (Hang/Tung)
","-Linkedin post (Anh/Lauren) 
-CEBA post-event emails: facilitators-speakers-participants","- Review offer from SmartSolar (Cong/Rob/Anh)
","- Slide for Bangkok Climate Week (Anh/Trang/Tung)
- Review sensitive content for public version (Anh/Trang/Tung)",,,,,,,,,,,,,,
2025-09-15,"- Retail price, FMP, RAG & supply chain data projects (Tinh/Trang/Aiden)","- Check in with Ecoplexus on model feedback (Cong/Tung)
- Translate and review Vinergo model (Trang/Cong/Rob)","- Quick note/email recap GEAPP event and share materials (Cong/Anh)
- Big picture KBC pitch deck drafting (all)
","- Follow up with BIDV on financed emission calculations (Hang/Trang/Tung)
",,- Follow up with KBC on update for Hai Phong (Tung) ,"- Print with VAT (Trang/Tung)
- Finalize logistics - ? (Anh/Trang)
- Finalize content and translation (Anh/all)
- Prep for video interview ",- Update Tsheets with recent hours for REI (Cong/Anh),,,,,,,,,,,,,,,
2025-09-08,"- Marketing slidedeck input (Trang/Hang)
","- Check in with Ecoplexus on model feedback (Cong/Tung)
","- Brainstorm industrial park project (Marc/Cong/Tung)
- KBC DC deck sharing (Tung)
- Follow up lululemon if no response (Tung)
- Gather BESS insights during GEAPP event (Cong/Anh)","- Share the Scope 1&2 tool (instruction and survey form) to TCB (Hang/Tung/Trang)
- Share financed emission tool with BIDV (Hang/Tung/others)
- Prepare for BIDV financed emission tool (Tinh/Trang/Hang)",,- Follow up with KBC on update for Hai Phong (Tung) ,"- Send confirmation email (Trang/Anh)
- Finalize slides - external, DPPA (Anh/Tung/Aiden/Cong)
- Start slide translations (Anh/Trang/Tinh)
- Logistics final - coordinators, tables, Slido, printing (Trang/Anh/Hang/others)","- Faciliate call and site visit for Jinquan (Trang/Anh/Cong)
- Review offer from SmartSolar (Cong/Rob/Anh/Tung)
- Share ENS Solution results (Aiden/Trang/Rob)",- Final update for report (Anh/Trang),,,,,,,,,,,,,,
